ORDERDATE,MONTH,YEAR
2019-11-09,11,2019
2019-05-26,5,2019
2019-07-02,7,2019
2019-09-07,9,2019
2019-11-16,11,2019
2019-12-07,12,2019
2018-09-03,9,2018
2019-06-30,6,2019
2019-08-28,8,2019
2019-05-08,5,2019
2019-11-12,11,2019
2020-05-09,5,2020
2018-09-25,9,2018
2019-01-22,1,2019
2019-10-29,10,2019
2019-07-07,7,2019
2019-08-09,8,2019
2018-10-10,10,2018
2018-11-19,11,2018
2020-01-19,1,2020
2018-10-02,10,2018
2019-03-29,3,2019
2020-02-28,2,2020
2019-04-20,4,2019
2020-03-02,3,2020
2018-04-11,4,2018
2018-08-13,8,2018
2018-10-08,10,2018
2018-12-01,12,2018
2020-03-28,3,2020
2018-04-21,4,2018
