ORDERNUMBER,PRODUCTCODE,ORDERDATE,QUANTITYORDERED,PRICEEACH,SALES
10210,S10_2016,2019-01-12,23,130.83,3009.09
10223,S10_2016,2019-02-20,47,115.37,5422.39
10236,S10_2016,2019-04-03,22,129.64,2852.08
10251,S10_2016,2019-05-18,44,130.83,5756.52
10263,S10_2016,2019-06-28,40,111.8,4472.0
10275,S10_2016,2019-07-23,22,132.02,2904.44
10285,S10_2016,2019-08-27,47,137.97,6484.59
10298,S10_2016,2019-09-27,39,96.34,3757.26
10308,S10_2016,2019-10-15,34,118.94,4043.96
10318,S10_2016,2019-11-02,45,123.7,5566.5
10329,S10_2016,2019-11-15,20,158.8,3176.0
10339,S10_2016,2019-11-23,40,68.92,2756.8
10361,S10_2016,2019-12-17,26,51.15,1329.9
10374,S10_2016,2020-02-02,39,135.59,5288.01
10388,S10_2016,2020-03-03,50,44.51,2225.5
10402,S10_2016,2020-04-07,45,129.64,5833.799999999999
10417,S10_2016,2020-05-13,45,130.83,5887.35
10107,S10_4698,2018-02-24,27,224.65,6065.55
10120,S10_4698,2018-04-29,46,201.41,9264.86
10134,S10_4698,2018-07-01,31,226.58,7023.9800000000005
10145,S10_4698,2018-08-25,33,156.86,5176.38
10168,S10_4698,2018-10-28,20,209.15,4183.0
10180,S10_4698,2018-11-11,41,216.9,8892.9
10188,S10_4698,2018-11-18,45,193.66,8714.7
10210,S10_4698,2019-01-12,34,180.1,6123.4
10223,S10_4698,2019-02-20,49,199.47,9774.03
10237,S10_4698,2019-04-05,39,180.1,7023.9
10251,S10_4698,2019-05-18,43,164.61,7078.2300000000005
10263,S10_4698,2019-06-28,41,203.34,8336.94
10275,S10_4698,2019-07-23,36,191.72,6901.92
10285,S10_4698,2019-08-27,27,201.41,5438.07
10299,S10_4698,2019-09-30,29,230.46,6683.34
10308,S10_4698,2019-10-15,20,228.52,4570.400000000001
10318,S10_4698,2019-11-02,37,207.22,7667.14
10329,S10_4698,2019-11-15,26,225.7,5868.2
10339,S10_4698,2019-11-23,39,76.67,2990.13
10362,S10_4698,2020-01-05,22,166.55,3664.1
10374,S10_4698,2020-02-02,22,174.29,3834.38
10388,S10_4698,2020-03-03,21,86.77,1822.17
10403,S10_4698,2020-04-08,66,180.1,11886.6
10417,S10_4698,2020-05-13,56,164.61,9218.16
10105,S10_4757,2018-02-11,50,144.16,7208.0
10119,S10_4757,2018-04-28,46,108.8,5004.8
10129,S10_4757,2018-06-12,33,133.28,4398.24
10143,S10_4757,2018-08-10,49,114.24,5597.759999999999
10155,S10_4757,2018-10-06,32,141.44,4526.08
10167,S10_4757,2018-10-23,44,134.64,5924.16
10178,S10_4757,2018-11-08,24,145.52,3492.4800000000005
10186,S10_4757,2018-11-14,26,148.24,3854.24
10197,S10_4757,2018-11-26,45,118.32,5324.4
10222,S10_4757,2019-02-19,49,122.4,5997.6
10248,S10_4757,2019-05-07,20,145.52,2910.4
10261,S10_4757,2019-06-17,27,125.12,3378.24
10273,S10_4757,2019-07-21,30,116.96,3508.8
10283,S10_4757,2019-08-20,25,119.68,2992.0
10295,S10_4757,2019-09-10,24,142.8,3427.2000000000003
10307,S10_4757,2019-10-14,22,122.4,2692.8
10316,S10_4757,2019-11-01,33,125.12,4128.96
10325,S10_4757,2019-11-05,47,64.93,3051.7100000000005
10337,S10_4757,2019-11-21,25,48.05,1201.25
10350,S10_4757,2019-12-02,26,75.47,1962.22
10359,S10_4757,2019-12-15,48,54.68,2624.64
10373,S10_4757,2020-01-31,39,103.75,4046.25
10395,S10_4757,2020-03-17,32,105.33,3370.56
10400,S10_4757,2020-04-01,64,150.96,9661.44
10414,S10_4757,2020-05-06,19,145.52,2764.88
10103,S10_4962,2018-01-29,42,128.53,5398.26
10114,S10_4962,2018-04-01,31,138.88,4305.28
10126,S10_4962,2018-05-28,22,152.17,3347.74
10140,S10_4962,2018-07-24,26,122.62,3188.12
10150,S10_4962,2018-09-19,20,159.56,3191.2
10164,S10_4962,2018-10-21,21,168.42,3536.82
10175,S10_4962,2018-11-06,33,162.51,5362.83
10183,S10_4962,2018-11-13,28,122.62,3433.36
10194,S10_4962,2018-11-25,26,163.99,4263.74
10207,S10_4962,2018-12-09,31,131.49,4076.190000000001
10217,S10_4962,2019-02-04,48,146.26,7020.48
10229,S10_4962,2019-03-11,50,128.53,6426.5
10245,S10_4962,2019-05-04,28,163.99,4591.72
10259,S10_4962,2019-06-15,26,155.13,4033.38
10270,S10_4962,2019-07-19,32,134.44,4302.08
10281,S10_4962,2019-08-19,44,159.56,7020.64
10291,S10_4962,2019-09-08,30,128.53,3855.9
10305,S10_4962,2019-10-13,38,175.81,6680.78
10313,S10_4962,2019-10-22,40,166.95,6678.0
10322,S10_4962,2019-11-04,46,61.99,2851.54
10334,S10_4962,2019-11-19,26,122.62,3188.12
10347,S10_4962,2019-11-29,27,164.0,4428.0
10357,S10_4962,2019-12-10,43,134.44,5780.92
10370,S10_4962,2020-01-20,35,65.63,2297.05
10391,S10_4962,2020-03-09,37,46.9,1735.3
10411,S10_4962,2020-05-01,27,163.99,4427.7300000000005
10425,S10_4962,2020-05-31,38,155.13,5894.94
10108,S12_1099,2018-03-03,33,159.55,5265.150000000001
10122,S12_1099,2018-05-08,42,180.95,7599.9
10135,S12_1099,2018-07-02,42,190.68,8008.56
10147,S12_1099,2018-09-05,48,192.62,9245.76
10169,S12_1099,2018-11-04,30,167.33,5019.900000000001
10181,S12_1099,2018-11-12,27,200.41,5411.07
10191,S12_1099,2018-11-20,21,182.9,3840.9
10203,S12_1099,2018-12-02,20,196.52,3930.4
10211,S12_1099,2019-01-15,41,182.9,7498.900000000001
10225,S12_1099,2019-02-22,27,167.33,4517.910000000001
10238,S12_1099,2019-04-09,28,206.24,5774.72
10253,S12_1099,2019-06-01,24,163.44,3922.56
10266,S12_1099,2019-07-06,44,208.19,9160.36
10276,S12_1099,2019-08-02,50,192.62,9631.0
10287,S12_1099,2019-08-30,21,163.44,3432.24
10300,S12_1099,2018-10-04,33,167.33,5521.89
10310,S12_1099,2019-10-16,33,210.14,6934.62
10320,S12_1099,2019-11-03,31,221.81,6876.11
10329,S12_1099,2019-11-15,41,71.47,2930.27
10341,S12_1099,2019-11-24,45,79.65,3584.2500000000005
10363,S12_1099,2020-01-06,33,85.39,2817.87
10375,S12_1099,2020-02-03,45,76.0,3420.0
10389,S12_1099,2020-03-03,26,99.04,2575.04
10419,S12_1099,2020-05-17,12,163.44,1961.28
10105,S12_1108,2018-02-11,41,211.96,8690.36
10117,S12_1108,2018-04-16,33,182.86,6034.38
10127,S12_1108,2018-06-03,46,245.2,11279.2
10142,S12_1108,2018-08-08,33,243.13,8023.29
10153,S12_1108,2018-09-28,20,245.2,4904.0
10165,S12_1108,2018-10-22,44,195.33,8594.52
10176,S12_1108,2018-11-06,33,226.5,7474.5
10185,S12_1108,2018-11-14,21,184.94,3883.74
10196,S12_1108,2018-11-26,47,189.1,8887.699999999999
10208,S12_1108,2019-01-02,46,187.02,8602.92
10220,S12_1108,2019-02-12,32,224.42,7181.44
10231,S12_1108,2019-03-19,42,199.49,8378.58
10247,S12_1108,2019-05-05,44,241.05,10606.2
10272,S12_1108,2019-07-20,35,166.24,5818.400000000001
10282,S12_1108,2019-08-20,41,172.47,7071.27
10293,S12_1108,2019-09-09,46,182.86,8411.560000000001
10306,S12_1108,2019-10-14,31,211.96,6570.76
10314,S12_1108,2019-10-22,38,209.88,7975.44
10325,S12_1108,2019-11-05,42,64.0,2688.0
10336,S12_1108,2019-11-20,33,57.22,1888.26
10348,S12_1108,2019-11-01,48,52.36,2513.28
10359,S12_1108,2019-12-15,42,113.44,4764.48
10371,S12_1108,2020-01-23,32,111.27,3560.64
10382,S12_1108,2020-02-17,34,112.46,3823.64
10395,S12_1108,2020-03-17,33,69.12,2280.96
10413,S12_1108,2020-05-05,36,241.05,8677.800000000001
10103,S12_1666,2018-01-29,27,125.74,3394.98
10113,S12_1666,2018-03-26,21,162.64,3415.44
10126,S12_1666,2018-05-28,21,116.17,2439.57
10140,S12_1666,2018-07-24,38,127.1,4829.8
10150,S12_1666,2018-09-19,30,136.67,4100.099999999999
10164,S12_1666,2018-10-21,49,133.94,6563.06
10174,S12_1666,2018-11-06,43,158.54,6817.219999999999
10183,S12_1666,2018-11-13,41,150.34,6163.9400000000005
10194,S12_1666,2018-11-25,38,129.84,4933.92
10206,S12_1666,2018-12-05,28,144.87,4056.36
10216,S12_1666,2019-02-02,43,133.94,5759.42
10229,S12_1666,2019-03-11,25,138.04,3451.0
10245,S12_1666,2019-05-04,38,155.8,5920.400000000001
10258,S12_1666,2019-06-15,41,162.64,6668.24
10270,S12_1666,2019-07-19,28,146.24,4094.72
10281,S12_1666,2019-08-19,25,117.54,2938.5
10291,S12_1666,2019-09-08,41,155.8,6387.8
10304,S12_1666,2019-10-11,39,164.0,6396.0
10313,S12_1666,2019-10-22,21,127.1,2669.1
10322,S12_1666,2019-11-04,27,177.19,4784.13
10347,S12_1666,2019-11-29,29,123.67,3586.43
10357,S12_1666,2019-12-10,49,121.64,5960.36
10370,S12_1666,2020-01-20,49,172.86,8470.140000000001
10391,S12_1666,2020-03-09,39,63.2,2464.8
10411,S12_1666,2020-05-01,40,155.8,6232.0
10424,S12_1666,2020-05-31,49,162.64,7969.36
10107,S12_2823,2018-02-24,21,144.6,3036.6
10121,S12_2823,2018-05-07,50,165.68,8284.0
10134,S12_2823,2018-07-01,20,135.56,2711.2
10145,S12_2823,2018-08-25,49,170.2,8339.8
10169,S12_2823,2018-11-04,35,132.55,4639.25
10180,S12_2823,2018-11-11,40,168.69,6747.6
10189,S12_2823,2018-11-18,28,161.16,4512.48
10211,S12_2823,2019-01-15,36,132.55,4771.8
10224,S12_2823,2019-02-21,43,141.58,6087.9400000000005
10237,S12_2823,2019-04-05,32,131.04,4193.28
10251,S12_2823,2019-05-18,46,164.18,7552.280000000001
10263,S12_2823,2019-06-28,48,134.05,6434.400000000001
10276,S12_2823,2019-08-02,43,120.5,5181.5
10285,S12_2823,2019-08-27,49,140.08,6863.920000000001
10299,S12_2823,2019-09-30,24,173.21,4157.04
10309,S12_2823,2019-10-15,26,179.24,4660.24
10319,S12_2823,2019-11-03,30,137.06,4111.8
10329,S12_2823,2019-11-15,24,147.61,3542.6400000000003
10341,S12_2823,2019-11-24,55,147.61,8118.550000000001
10362,S12_2823,2020-01-05,22,176.23,3877.06
10375,S12_2823,2020-02-03,49,78.92,3867.08
10388,S12_2823,2020-03-03,44,135.26,5951.44
10403,S12_2823,2020-04-08,66,131.04,8648.64
10417,S12_2823,2020-05-13,21,164.18,3447.78
10104,S12_3148,2018-01-31,34,175.25,5958.5
10117,S12_3148,2018-04-16,43,137.48,5911.639999999999
10127,S12_3148,2018-06-03,46,160.14,7366.44
10142,S12_3148,2018-08-08,33,151.08,4985.64
10153,S12_3148,2018-09-28,42,128.42,5393.639999999999
10165,S12_3148,2018-10-22,34,143.53,4880.02
10176,S12_3148,2018-11-06,47,178.27,8378.69
10185,S12_3148,2018-11-14,33,122.37,4038.21
10196,S12_3148,2018-11-26,24,158.63,3807.12
10208,S12_3148,2019-01-02,26,120.86,3142.36
10220,S12_3148,2019-02-12,30,157.12,4713.6
10230,S12_3148,2019-03-15,43,163.17,7016.31
10247,S12_3148,2019-05-05,25,175.25,4381.25
10272,S12_3148,2019-07-20,27,158.63,4283.01
10282,S12_3148,2019-08-20,27,161.66,4364.82
10293,S12_3148,2019-09-09,24,176.76,4242.24
10306,S12_3148,2019-10-14,34,146.55,4982.700000000001
10314,S12_3148,2019-10-22,46,138.99,6393.540000000001
10324,S12_3148,2019-11-05,27,54.33,1466.91
10336,S12_3148,2019-11-20,33,123.01,4059.33
10348,S12_3148,2019-11-01,47,102.16,4801.52
10358,S12_3148,2019-12-10,49,55.34,2711.6600000000003
10372,S12_3148,2020-01-26,40,146.55,5862.0
10382,S12_3148,2020-02-17,37,110.05,4071.85
10413,S12_3148,2020-05-05,47,175.25,8236.75
10108,S12_3380,2018-03-03,45,136.23,6130.349999999999
10122,S12_3380,2018-05-08,37,99.82,3693.34
10135,S12_3380,2018-07-02,48,125.66,6031.68
10147,S12_3380,2018-09-05,31,112.74,3494.94
10170,S12_3380,2018-11-04,47,116.27,5464.69
10181,S12_3380,2018-11-12,28,102.17,2860.76
10191,S12_3380,2018-11-20,40,139.75,5590.0
10203,S12_3380,2018-12-02,20,112.74,2254.8
10212,S12_3380,2019-01-16,39,126.84,4946.76
10225,S12_3380,2019-02-22,25,99.82,2495.5
10238,S12_3380,2019-04-09,29,109.22,3167.38
10253,S12_3380,2019-06-01,22,109.22,2402.84
10266,S12_3380,2019-07-06,22,111.57,2454.54
10276,S12_3380,2019-08-02,47,116.27,5464.69
10287,S12_3380,2019-08-30,45,105.7,4756.5
10300,S12_3380,2018-10-04,29,137.4,3984.6
10310,S12_3380,2019-10-16,24,129.18,3100.32
10320,S12_3380,2019-11-03,35,138.58,4850.3
10329,S12_3380,2019-11-15,46,83.63,3846.98
10341,S12_3380,2019-11-24,44,95.93,4220.92
10363,S12_3380,2020-01-06,34,96.73,3288.82
10376,S12_3380,2020-02-08,35,113.92,3987.2
10389,S12_3380,2020-03-03,25,72.38,1809.5
10419,S12_3380,2020-05-17,10,109.22,1092.2
10105,S12_3891,2018-02-11,29,157.45,4566.049999999999
10117,S12_3891,2018-04-16,39,152.26,5938.139999999999
10127,S12_3891,2018-06-03,42,193.78,8138.76
10142,S12_3891,2018-08-08,46,205.89,9470.94
10153,S12_3891,2018-09-28,49,143.61,7036.89
10165,S12_3891,2018-10-22,27,205.89,5559.03
10176,S12_3891,2018-11-06,50,157.45,7872.499999999999
10185,S12_3891,2018-11-14,43,183.4,7886.2
10196,S12_3891,2018-11-26,38,190.32,7232.16
10208,S12_3891,2019-01-02,20,155.72,3114.4
10220,S12_3891,2019-02-12,27,186.86,5045.22
10231,S12_3891,2019-03-19,49,141.88,6952.12
10247,S12_3891,2019-05-05,27,153.99,4157.7300000000005
10272,S12_3891,2019-07-20,39,204.16,7962.24
10282,S12_3891,2019-08-20,24,157.45,3778.8
10293,S12_3891,2019-09-09,45,183.4,8253.0
10306,S12_3891,2019-10-14,20,181.67,3633.4
10314,S12_3891,2019-10-22,36,192.05,6913.8
10325,S12_3891,2019-11-05,24,107.65,2583.6000000000004
10336,S12_3891,2019-11-20,49,63.38,3105.6200000000003
10349,S12_3891,2019-12-01,26,169.56,4408.56
10359,S12_3891,2019-12-15,49,62.09,3042.4100000000003
10372,S12_3891,2020-01-26,34,174.75,5941.5
10382,S12_3891,2020-02-17,34,95.35,3241.9
10396,S12_3891,2020-03-23,33,185.13,6109.29
10413,S12_3891,2020-05-05,22,153.99,3387.78
10108,S12_3990,2018-03-03,39,89.38,3485.82
10122,S12_3990,2018-05-08,32,63.84,2042.88
10135,S12_3990,2018-07-02,24,75.01,1800.2400000000002
10147,S12_3990,2018-09-05,21,63.84,1340.64
10169,S12_3990,2018-11-04,36,63.84,2298.24
10181,S12_3990,2018-11-12,20,81.4,1628.0
10191,S12_3990,2018-11-20,30,64.64,1939.2
10203,S12_3990,2018-12-02,44,82.99,3651.56
10211,S12_3990,2019-01-15,28,92.57,2591.96
10225,S12_3990,2019-02-22,37,77.41,2864.17
10238,S12_3990,2019-04-09,20,74.21,1484.1999999999998
10253,S12_3990,2019-06-01,25,90.17,2254.25
10266,S12_3990,2019-07-06,35,76.61,2681.35
10276,S12_3990,2019-08-02,38,83.79,3184.0200000000004
10287,S12_3990,2019-08-30,41,69.43,2846.63
10300,S12_3990,2018-10-04,22,76.61,1685.42
10310,S12_3990,2019-10-16,49,81.4,3988.6
10320,S12_3990,2019-11-03,38,73.42,2789.96
10329,S12_3990,2019-11-15,33,109.32,3607.56
10341,S12_3990,2019-11-24,36,93.56,3368.16
10363,S12_3990,2020-01-06,34,81.62,2775.08
10377,S12_3990,2020-02-09,24,67.83,1627.92
10389,S12_3990,2020-03-03,36,70.26,2529.36
10419,S12_3990,2020-05-17,34,90.17,3065.78
10104,S12_4473,2018-01-31,41,112.58,4615.78
10115,S12_4473,2018-04-04,46,124.43,5723.780000000001
10127,S12_4473,2018-06-03,24,106.65,2559.6000000000004
10141,S12_4473,2018-08-01,21,101.91,2140.11
10151,S12_4473,2018-09-21,24,138.65,3327.6000000000004
10165,S12_4473,2018-10-22,48,142.2,6825.599999999999
10175,S12_4473,2018-11-06,26,136.28,3543.28
10184,S12_4473,2018-11-14,37,122.06,4516.22
10195,S12_4473,2018-11-25,49,131.54,6445.46
10207,S12_4473,2018-12-09,34,99.54,3384.36
10219,S12_4473,2019-02-10,48,101.91,4891.68
10229,S12_4473,2019-03-11,36,125.61,4521.96
10246,S12_4473,2019-05-05,46,110.21,5069.66
10259,S12_4473,2019-06-15,46,142.2,6541.2
10271,S12_4473,2019-07-20,31,97.17,3012.27
10281,S12_4473,2019-08-19,41,127.98,5247.18
10292,S12_4473,2019-09-08,21,105.47,2214.87
10305,S12_4473,2019-10-13,38,125.61,4773.18
10314,S12_4473,2019-10-22,45,137.46,6185.700000000001
10324,S12_4473,2019-11-05,26,58.38,1517.88
10336,S12_4473,2019-11-20,38,167.7,6372.599999999999
10349,S12_4473,2019-12-01,48,109.02,5232.96
10358,S12_4473,2019-12-10,42,64.16,2694.72
10371,S12_4473,2020-01-23,49,35.71,1749.79
10382,S12_4473,2020-02-17,32,66.58,2130.56
10412,S12_4473,2020-05-03,54,110.21,5951.339999999999
10425,S12_4473,2020-05-31,33,142.2,4692.599999999999
10108,S12_4675,2018-03-03,36,103.64,3731.04
10122,S12_4675,2018-05-08,20,107.1,2142.0
10135,S12_4675,2018-07-02,29,97.89,2838.81
10147,S12_4675,2018-09-05,33,97.89,3230.37
10170,S12_4675,2018-11-04,41,107.1,4391.099999999999
10181,S12_4675,2018-11-12,36,124.37,4477.32
10192,S12_4675,2018-11-20,27,131.28,3544.56
10203,S12_4675,2018-12-02,47,110.55,5195.849999999999
10212,S12_4675,2019-01-16,33,126.68,4180.4400000000005
10225,S12_4675,2019-02-22,21,127.83,2684.43
10239,S12_4675,2019-04-12,21,93.28,1958.88
10253,S12_4675,2019-06-01,41,119.77,4910.57
10266,S12_4675,2019-07-06,40,111.71,4468.4
10277,S12_4675,2019-08-04,28,111.71,3127.88
10287,S12_4675,2019-08-30,23,116.31,2675.13
10300,S12_4675,2018-10-04,23,122.07,2807.61
10310,S12_4675,2019-10-16,25,100.19,2504.75
10321,S12_4675,2019-11-04,24,124.37,2984.88
10329,S12_4675,2019-11-15,39,64.74,2524.86
10341,S12_4675,2019-11-24,55,75.2,4136.0
10363,S12_4675,2020-01-06,46,88.45,4068.7
10377,S12_4675,2020-02-09,50,103.64,5182.0
10389,S12_4675,2020-03-03,47,111.57,5243.79
10405,S12_4675,2020-04-14,97,93.28,9048.16
10419,S12_4675,2020-05-17,32,119.77,3832.64
10103,S18_1097,2018-01-29,35,112.0,3920.0
10113,S18_1097,2018-03-26,49,100.34,4916.66
10126,S18_1097,2018-05-28,38,101.5,3857.0
10140,S18_1097,2018-07-24,32,130.67,4181.44
10150,S18_1097,2018-09-19,34,136.5,4641.0
10164,S18_1097,2018-10-21,36,99.17,3570.12
10174,S18_1097,2018-11-06,48,93.34,4480.32
10183,S18_1097,2018-11-13,21,96.84,2033.64
10194,S18_1097,2018-11-25,21,93.34,1960.14
10206,S18_1097,2018-12-05,34,116.67,3966.78
10215,S18_1097,2019-01-29,46,112.0,5152.0
10228,S18_1097,2019-03-10,32,105.0,3360.0
10245,S18_1097,2019-05-04,29,119.0,3451.0
10258,S18_1097,2019-06-15,41,133.0,5453.0
10270,S18_1097,2019-07-19,43,96.84,4164.12
10280,S18_1097,2019-08-17,24,116.67,2800.08
10291,S18_1097,2019-09-08,41,114.34,4687.9400000000005
10304,S18_1097,2019-10-11,46,98.0,4508.0
10312,S18_1097,2019-10-21,32,130.67,4181.44
10322,S18_1097,2019-11-04,22,102.32,2251.04
10347,S18_1097,2019-11-29,42,49.6,2083.2000000000003
10357,S18_1097,2019-12-10,39,98.0,3822.0
10370,S18_1097,2020-01-20,27,144.87,3911.49
10391,S18_1097,2020-03-09,29,85.1,2467.9
10411,S18_1097,2020-05-01,27,119.0,3213.0
10424,S18_1097,2020-05-31,54,133.0,7182.0
10109,S18_1129,2018-03-10,26,168.43,4379.18
10122,S18_1129,2018-05-08,34,147.2,5004.799999999999
10136,S18_1129,2018-07-04,25,145.79,3644.75
10148,S18_1129,2018-09-11,23,117.48,2702.04
10161,S18_1129,2018-10-17,28,134.46,3764.88
10171,S18_1129,2018-11-05,35,128.8,4508.0
10181,S18_1129,2018-11-12,44,123.14,5418.16
10192,S18_1129,2018-11-20,22,150.03,3300.66
10204,S18_1129,2018-12-02,42,147.2,6182.4
10212,S18_1129,2019-01-16,29,144.37,4186.7300000000005
10225,S18_1129,2019-02-22,32,141.54,4529.28
10240,S18_1129,2019-04-13,41,137.29,5628.889999999999
10253,S18_1129,2019-06-01,26,117.48,3054.48
10266,S18_1129,2019-07-06,21,120.31,2526.51
10278,S18_1129,2019-08-06,34,137.29,4667.86
10287,S18_1129,2019-08-30,41,158.52,6499.320000000001
10301,S18_1129,2018-10-05,37,159.94,5917.78
10310,S18_1129,2019-10-16,37,168.43,6231.91
10321,S18_1129,2019-11-04,41,141.54,5803.139999999999
10331,S18_1129,2019-11-17,46,139.87,6434.02
10342,S18_1129,2019-11-24,40,161.36,6454.400000000001
10356,S18_1129,2019-12-09,43,97.6,4196.8
10365,S18_1129,2020-01-07,30,87.06,2611.8
10377,S18_1129,2020-02-09,35,168.43,5895.05
10390,S18_1129,2020-03-04,36,93.77,3375.72
10406,S18_1129,2020-04-15,61,137.29,8374.689999999999
10419,S18_1129,2020-05-17,38,117.48,4464.24
10102,S18_1342,2018-01-10,39,123.29,4808.31
10125,S18_1342,2018-05-21,32,101.71,3254.72
10139,S18_1342,2018-07-16,31,102.74,3184.94
10149,S18_1342,2018-09-12,50,118.15,5907.5
10173,S18_1342,2018-11-05,43,117.12,5036.16
10182,S18_1342,2018-11-12,25,87.33,2183.25
10193,S18_1342,2018-11-21,28,110.96,3106.88
10205,S18_1342,2018-12-03,36,103.77,3735.72
10215,S18_1342,2019-01-29,27,89.38,2413.26
10227,S18_1342,2019-03-02,25,118.15,2953.75
10244,S18_1342,2019-04-29,40,117.12,4684.8
10256,S18_1342,2019-06-08,34,95.55,3248.7
10280,S18_1342,2019-08-17,50,104.79,5239.5
10289,S18_1342,2019-09-03,38,120.21,4567.98
10304,S18_1342,2019-10-11,37,95.55,3535.35
10312,S18_1342,2019-10-21,43,89.38,3843.34
10322,S18_1342,2019-11-04,43,86.3,3710.9
10332,S18_1342,2019-11-17,46,95.13,4375.98
10346,S18_1342,2019-11-29,42,36.11,1516.62
10356,S18_1342,2019-12-09,50,50.18,2509.0
10369,S18_1342,2020-01-20,44,210.01,9240.44
10380,S18_1342,2020-02-16,27,93.16,2515.32
10391,S18_1342,2020-03-09,35,158.54,5548.9
10422,S18_1342,2020-05-30,51,95.55,4873.05
10102,S18_1367,2018-01-10,41,50.14,2055.74
10126,S18_1367,2018-05-28,42,54.99,2309.58
10139,S18_1367,2018-07-16,49,43.13,2113.3700000000003
10149,S18_1367,2018-09-12,30,58.22,1746.6
10173,S18_1367,2018-11-05,48,44.21,2122.08
10182,S18_1367,2018-11-12,32,54.45,1742.4
10193,S18_1367,2018-11-21,46,53.37,2455.02
10205,S18_1367,2018-12-03,48,63.61,3053.28
10215,S18_1367,2019-01-29,33,43.13,1423.2900000000002
10227,S18_1367,2019-03-02,31,48.52,1504.12
10244,S18_1367,2019-04-29,20,58.22,1164.4
10256,S18_1367,2019-06-08,29,51.75,1500.75
10280,S18_1367,2019-08-17,27,57.68,1557.36
10289,S18_1367,2019-09-03,24,56.07,1345.68
10304,S18_1367,2019-10-11,37,48.52,1795.24
10312,S18_1367,2019-10-21,25,44.21,1105.25
10322,S18_1367,2019-11-04,41,57.68,2364.88
10332,S18_1367,2019-11-17,27,89.89,2427.03
10347,S18_1367,2019-11-29,21,58.95,1237.95
10356,S18_1367,2019-12-09,22,72.41,1593.02
10369,S18_1367,2020-01-20,32,98.63,3156.16
10391,S18_1367,2020-03-09,42,119.0,4998.0
10422,S18_1367,2020-05-30,25,51.75,1293.75
10110,S18_1589,2018-03-18,37,146.84,5433.08
10123,S18_1589,2018-05-20,26,118.22,3073.72
10137,S18_1589,2018-07-10,44,99.55,4380.2
10148,S18_1589,2018-09-11,47,124.44,5848.68
