ORDERNUMBER,CUSTOMERNAME,SALES,DAYS_SINCE_LASTORDER
10168,Technics Stores Inc.,3660.93,636
10180,Daedalus Designs Imports,4695.6,623
10188,Herkku Gifts,3660.92,617
10210,Osaka Souveniers Co.,3009.09,563
10223,"Australian Collectors, Co.",5422.39,525
10236,Motor Mint Distributors Inc.,2852.08,484
10251,Tekni Collectables Inc.,5756.52,440
10263,Gift Depot Inc.,4472.0,400
10275,La Rochelle Gifts,2904.44,376
10285,Marta's Replicas Co.,6484.59,342
10298,Atelier graphique,3757.26,312
10308,Mini Classics,4043.96,295
10318,Diecast Classics Inc.,5566.5,278
10329,Land of Toys Inc.,3176.0,266
10339,"Tokyo Collectables, Ltd",2756.8,259
10361,Souveniers And Things Co.,1329.9,236
10374,"Australian Gift Network, Co",5288.01,190
10388,FunGiftIdeas.com,2225.5,161
10402,Auto Canal Petit,5833.8,127
10417,Euro Shopping Channel,5887.35,92
10107,Land of Toys Inc.,6065.55,902
10120,"Australian Collectors, Co.",9264.86,839
10134,Lyon Souveniers,7023.98,777
10145,Toys4GrownUps.com,5176.38,723
10168,Technics Stores Inc.,4183.0,660
10180,Daedalus Designs Imports,8892.9,647
10188,Herkku Gifts,8714.7,641
10210,Osaka Souveniers Co.,6123.4,587
10223,"Australian Collectors, Co.",9774.03,549
10237,Vitachrome Inc.,7023.9,506
10251,Tekni Collectables Inc.,7078.23,464
10263,Gift Depot Inc.,8336.94,424
10275,La Rochelle Gifts,6901.92,400
10285,Marta's Replicas Co.,5438.07,366
10299,"Toys of Finland, Co.",6683.34,333
10308,Mini Classics,4570.4,319
10318,Diecast Classics Inc.,7667.14,302
10329,Land of Toys Inc.,5868.2,290
10339,"Tokyo Collectables, Ltd",2990.13,283
10362,Technics Stores Inc.,3664.1,241
10374,"Australian Gift Network, Co",3834.38,214
10388,FunGiftIdeas.com,1822.17,185
10403,"UK Collectables, Ltd.",11886.6,150
10417,Euro Shopping Channel,9218.16,116
10105,Danish Wholesale Imports,7208.0,939
10119,Salzburg Collectables,5004.8,864
10129,"Stylish Desk Decors, Co.",4398.24,820
10143,Mini Creations Ltd.,5597.76,762
10155,"Toys of Finland, Co.",4526.08,706
10167,Scandinavian Gift Ideas,5924.16,690
10178,Alpha Cognac,3492.48,675
10186,"Double Decker Gift Stores, Ltd",3854.24,670
10197,Enaco Distributors,5324.4,659
10222,Collectable Mini Designs Co.,5997.6,575
10248,Land of Toys Inc.,2910.4,499
10261,Quebec Home Shopping Network,3378.24,459
10273,Petit Auto,3508.8,426
10283,"Royal Canadian Collectables, Ltd.",2992.0,397
10295,Gifts4AllAges.com,3427.2,377
10307,"Classic Gift Ideas, Inc",2692.8,344
10316,giftsbymail.co.uk,4128.96,327
10325,Baane Mini Imports,3051.71,324
10337,Classic Legends Inc.,1201.25,309
10350,Euro Shopping Channel,1962.22,299
10359,Reims Collectables,2624.64,287
10373,"Oulu Toy Supplies, Inc.",4046.25,241
10395,Lyon Souveniers,3370.56,196
10400,The Sharp Gifts Warehouse,9661.44,182
10414,Gifts4AllAges.com,2764.88,148
10103,Baane Mini Imports,5398.26,977
10114,"La Corne D'abondance, Co.",4305.28,916
10126,"Corrida Auto Replicas, Ltd",3347.74,860
10140,Technics Stores Inc.,3188.12,804
10150,"Dragon Souveniers, Ltd.",3191.2,748
10164,Mini Auto Werke,3536.82,717
10175,"Stylish Desk Decors, Co.",5362.83,702
10183,"Classic Gift Ideas, Inc",3433.36,696
10194,"Saveley & Henriot, Co.",4263.74,685
10207,Diecast Collectables,4076.19,672
10217,Handji Gifts& Co,7020.48,616
10229,Mini Gifts Distributors Ltd.,6426.5,582
10245,Super Scale Inc.,4591.72,529
10259,Handji Gifts& Co,4033.38,488
10270,Souveniers And Things Co.,4302.08,455
10281,Diecast Classics Inc.,7020.64,425
10291,Scandinavian Gift Ideas,3855.9,406
10305,Marta's Replicas Co.,6680.78,372
10313,Canadian Gift Exchange Network,6678.0,364
10322,Online Diecast Creations Co.,2851.54,352
10334,"Volvo Model Replicas, Co",3188.12,338
10347,"Australian Collectors, Co.",4428.0,329
10357,Mini Gifts Distributors Ltd.,5780.92,319
10370,"Anna's Decorations, Ltd",2297.05,279
10391,"Anna's Decorations, Ltd",1735.3,231
10411,Quebec Home Shopping Network,4427.73,179
10425,La Rochelle Gifts,5894.94,150
10108,Cruz & Sons Co.,5265.15,971
10122,Marseille Mini Autos,7599.9,906
10135,Mini Gifts Distributors Ltd.,8008.56,852
10147,Collectables For Less Inc.,9245.76,788
10169,"Anna's Decorations, Ltd",5019.9,729
10181,Herkku Gifts,5411.07,722
10191,"Toms Spezialitten, Ltd",3840.9,715
10203,Euro Shopping Channel,3930.4,704
10211,Auto Canal Petit,7498.9,661
10225,"Vida Sport, Ltd",4517.91,624
10238,Danish Wholesale Imports,5774.72,579
10253,"UK Collectables, Ltd.",3922.56,527
10266,L'ordine Souveniers,9160.36,493
10276,Online Mini Collectables,9631.0,467
10287,"Vida Sport, Ltd",3432.24,440
10300,"Blauer See Auto, Co.",5521.89,771
10310,"Toms Spezialitten, Ltd",6934.62,395
10320,"Volvo Model Replicas, Co",6876.11,378
10329,Land of Toys Inc.,2930.27,367
10341,Salzburg Collectables,3584.25,359
10363,Suominen Souveniers,2817.87,317
10375,La Rochelle Gifts,3420.0,290
10389,Scandinavian Gift Ideas,2575.04,262
10419,Salzburg Collectables,1961.28,188
10105,Danish Wholesale Imports,8690.36,1015
10117,"Dragon Souveniers, Ltd.",6034.38,952
10127,Muscle Machine Inc,11279.2,905
10142,Mini Gifts Distributors Ltd.,8023.29,840
10153,Euro Shopping Channel,4904.0,790
10165,"Dragon Souveniers, Ltd.",8594.52,767
10176,L'ordine Souveniers,7474.5,753
10185,Mini Creations Ltd.,3883.74,746
10196,Super Scale Inc.,8887.7,735
10208,"Saveley & Henriot, Co.",8602.92,699
10220,"Clover Collections, Co.",7181.44,659
10231,CAF Imports,8378.58,625
10247,Suominen Souveniers,10606.2,579
10272,Diecast Classics Inc.,5818.4,504
10282,Mini Gifts Distributors Ltd.,7071.27,474
10293,Amica Models & Co.,8411.56,455
10306,"AV Stores, Co.",6570.76,421
10314,Heintze Collectables,7975.44,414
10325,Baane Mini Imports,2688.0,401
10336,"La Corne D'abondance, Co.",1888.26,387
10348,"Corrida Auto Replicas, Ltd",2513.28,407
10359,Reims Collectables,4764.48,364
10371,Mini Gifts Distributors Ltd.,3560.64,326
10382,Mini Gifts Distributors Ltd.,3823.64,302
10395,Lyon Souveniers,2280.96,274
10413,Gift Depot Inc.,8677.8,226
10103,Baane Mini Imports,3394.98,1054
10113,Mini Gifts Distributors Ltd.,3415.44,999
10126,"Corrida Auto Replicas, Ltd",2439.57,937
10140,Technics Stores Inc.,4829.8,881
10150,"Dragon Souveniers, Ltd.",4100.1,825
10164,Mini Auto Werke,6563.06,794
10174,"Australian Gift Network, Co",6817.22,779
10183,"Classic Gift Ideas, Inc",6163.94,773
10194,"Saveley & Henriot, Co.",4933.92,762
10206,Canadian Gift Exchange Network,4056.36,753
10216,Auto Assoc. & Cie.,5759.42,695
10229,Mini Gifts Distributors Ltd.,3451.0,659
10245,Super Scale Inc.,5920.4,606
10258,"Tokyo Collectables, Ltd",6668.24,565
10270,Souveniers And Things Co.,4094.72,532
10281,Diecast Classics Inc.,2938.5,502
10291,Scandinavian Gift Ideas,6387.8,483
10304,Auto Assoc. & Cie.,6396.0,451
10313,Canadian Gift Exchange Network,2669.1,441
10322,Online Diecast Creations Co.,4784.13,429
10347,"Australian Collectors, Co.",3586.43,405
10357,Mini Gifts Distributors Ltd.,5960.36,395
10370,"Anna's Decorations, Ltd",8470.14,355
10391,"Anna's Decorations, Ltd",2464.8,307
10411,Quebec Home Shopping Network,6232.0,255
10424,Euro Shopping Channel,7969.36,226
10107,Land of Toys Inc.,3036.6,1054
10121,Reims Collectables,8284.0,983
10134,Lyon Souveniers,2711.2,929
10145,Toys4GrownUps.com,8339.8,875
10169,"Anna's Decorations, Ltd",4639.25,805
10180,Daedalus Designs Imports,6747.6,799
10189,Toys4GrownUps.com,4512.48,793
10211,Auto Canal Petit,4771.8,736
10224,Daedalus Designs Imports,6087.94,700
10237,Vitachrome Inc.,4193.28,658
10251,Tekni Collectables Inc.,7552.28,616
10263,Gift Depot Inc.,6434.4,576
10276,Online Mini Collectables,5181.5,542
10285,Marta's Replicas Co.,6863.92,518
10299,"Toys of Finland, Co.",4157.04,485
10309,Baane Mini Imports,4660.24,471
10319,Microscale Inc.,4111.8,453
10329,Land of Toys Inc.,3542.64,442
10341,Salzburg Collectables,8118.55,434
10362,Technics Stores Inc.,3877.06,393
10375,La Rochelle Gifts,3867.08,365
10388,FunGiftIdeas.com,5951.44,337
10403,"UK Collectables, Ltd.",8648.64,302
10417,Euro Shopping Channel,3447.78,268
10104,Euro Shopping Channel,5958.5,1102
10117,"Dragon Souveniers, Ltd.",5911.64,1028
10127,Muscle Machine Inc,7366.44,981
10142,Mini Gifts Distributors Ltd.,4985.64,916
10153,Euro Shopping Channel,5393.64,866
10165,"Dragon Souveniers, Ltd.",4880.02,843
10176,L'ordine Souveniers,8378.69,829
10185,Mini Creations Ltd.,4038.21,822
10196,Super Scale Inc.,3807.12,811
10208,"Saveley & Henriot, Co.",3142.36,775
10220,"Clover Collections, Co.",4713.6,735
10230,"Blauer See Auto, Co.",7016.31,705
10247,Suominen Souveniers,4381.25,655
10272,Diecast Classics Inc.,4283.01,580
10282,Mini Gifts Distributors Ltd.,4364.82,550
10293,Amica Models & Co.,4242.24,531
10306,"AV Stores, Co.",4982.7,497
10314,Heintze Collectables,6393.54,490
10324,Vitachrome Inc.,1466.91,477
10336,"La Corne D'abondance, Co.",4059.33,463
10348,"Corrida Auto Replicas, Ltd",4801.52,483
10358,Euro Shopping Channel,2711.66,445
10372,"Tokyo Collectables, Ltd",5862.0,399
10382,Mini Gifts Distributors Ltd.,4071.85,378
10413,Gift Depot Inc.,8236.75,301
10108,Cruz & Sons Co.,6130.35,1096
10122,Marseille Mini Autos,3693.34,1031
10135,Mini Gifts Distributors Ltd.,6031.68,977
10147,Collectables For Less Inc.,3494.94,913
10170,Mini Auto Werke,5464.69,854
10181,Herkku Gifts,2860.76,847
10191,"Toms Spezialitten, Ltd",5590.0,840
10203,Euro Shopping Channel,2254.8,829
10212,Euro Shopping Channel,4946.76,785
10225,"Vida Sport, Ltd",2495.5,749
10238,Danish Wholesale Imports,3167.38,704
10253,"UK Collectables, Ltd.",2402.84,652
10266,L'ordine Souveniers,2454.54,618
10276,Online Mini Collectables,5464.69,592
10287,"Vida Sport, Ltd",4756.5,565
10300,"Blauer See Auto, Co.",3984.6,896
10310,"Toms Spezialitten, Ltd",3100.32,520
10320,"Volvo Model Replicas, Co",4850.3,503
10329,Land of Toys Inc.,3846.98,492
10341,Salzburg Collectables,4220.92,484
10363,Suominen Souveniers,3288.82,442
10376,Boards & Toys Co.,3987.2,410
10389,Scandinavian Gift Ideas,1809.5,387
10419,Salzburg Collectables,1092.2,313
10105,Danish Wholesale Imports,4566.05,1140
10117,"Dragon Souveniers, Ltd.",5938.14,1077
10127,Muscle Machine Inc,8138.76,1030
10142,Mini Gifts Distributors Ltd.,9470.94,965
10153,Euro Shopping Channel,7036.89,915
10165,"Dragon Souveniers, Ltd.",5559.03,892
10176,L'ordine Souveniers,7872.5,878
10185,Mini Creations Ltd.,7886.2,871
10196,Super Scale Inc.,7232.16,860
10208,"Saveley & Henriot, Co.",3114.4,824
10220,"Clover Collections, Co.",5045.22,784
10231,CAF Imports,6952.12,750
10247,Suominen Souveniers,4157.73,704
10272,Diecast Classics Inc.,7962.24,629
10282,Mini Gifts Distributors Ltd.,3778.8,599
10293,Amica Models & Co.,8253.0,580
10306,"AV Stores, Co.",3633.4,546
10314,Heintze Collectables,6913.8,539
10325,Baane Mini Imports,2583.6,526
10336,"La Corne D'abondance, Co.",3105.62,512
10349,Muscle Machine Inc,4408.56,502
10359,Reims Collectables,3042.41,489
10372,"Tokyo Collectables, Ltd",5941.5,448
10382,Mini Gifts Distributors Ltd.,3241.9,427
10396,Mini Gifts Distributors Ltd.,6109.29,393
10413,Gift Depot Inc.,3387.78,351
10108,Cruz & Sons Co.,3485.82,1146
10122,Marseille Mini Autos,2042.88,1081
10135,Mini Gifts Distributors Ltd.,1800.24,1027
10147,Collectables For Less Inc.,1340.64,963
10169,"Anna's Decorations, Ltd",2298.24,904
10181,Herkku Gifts,1628.0,897
10191,"Toms Spezialitten, Ltd",1939.2,890
10203,Euro Shopping Channel,3651.56,879
10211,Auto Canal Petit,2591.96,836
10225,"Vida Sport, Ltd",2864.17,799
10238,Danish Wholesale Imports,1484.2,754
10253,"UK Collectables, Ltd.",2254.25,702
10266,L'ordine Souveniers,2681.35,668
10276,Online Mini Collectables,3184.02,642
10287,"Vida Sport, Ltd",2846.63,615
10300,"Blauer See Auto, Co.",1685.42,946
10310,"Toms Spezialitten, Ltd",3988.6,570
10320,"Volvo Model Replicas, Co",2789.96,553
10329,Land of Toys Inc.,3607.56,542
10341,Salzburg Collectables,3368.16,534
10363,Suominen Souveniers,2775.08,492
10377,"Toys of Finland, Co.",1627.92,459
10389,Scandinavian Gift Ideas,2529.36,437
10419,Salzburg Collectables,3065.78,363
10104,Euro Shopping Channel,4615.78,1201
10115,Classic Legends Inc.,5723.78,1139
10127,Muscle Machine Inc,2559.6,1080
10141,Suominen Souveniers,2140.11,1022
10151,"Oulu Toy Supplies, Inc.",3327.6,972
10165,"Dragon Souveniers, Ltd.",6825.6,942
10175,"Stylish Desk Decors, Co.",3543.28,928
10184,"Iberia Gift Imports, Corp.",4516.22,921
10195,Mini Classics,6445.46,911
10207,Diecast Collectables,3384.36,898
10219,Signal Collectibles Ltd.,4891.68,836
10229,Mini Gifts Distributors Ltd.,4521.96,808
10246,Euro Shopping Channel,5069.66,754
10259,Handji Gifts& Co,6541.2,714
10271,Mini Gifts Distributors Ltd.,3012.27,680
10281,Diecast Classics Inc.,5247.18,651
10292,Land of Toys Inc.,2214.87,632
10305,Marta's Replicas Co.,4773.18,598
10314,Heintze Collectables,6185.7,590
10324,Vitachrome Inc.,1517.88,577
10336,"La Corne D'abondance, Co.",6372.6,563
10349,Muscle Machine Inc,5232.96,553
10358,Euro Shopping Channel,2694.72,545
10371,Mini Gifts Distributors Ltd.,1749.79,502
10382,Mini Gifts Distributors Ltd.,2130.56,478
10412,Euro Shopping Channel,5951.34,403
10425,La Rochelle Gifts,4692.6,376
10108,Cruz & Sons Co.,3731.04,1197
10122,Marseille Mini Autos,2142.0,1132
10135,Mini Gifts Distributors Ltd.,2838.81,1078
10147,Collectables For Less Inc.,3230.37,1014
10170,Mini Auto Werke,4391.1,955
10181,Herkku Gifts,4477.32,948
10192,Online Diecast Creations Co.,3544.56,941
10203,Euro Shopping Channel,5195.85,930
10212,Euro Shopping Channel,4180.44,886
10225,"Vida Sport, Ltd",2684.43,850
10239,"Oulu Toy Supplies, Inc.",1958.88,802
10253,"UK Collectables, Ltd.",4910.57,753
10266,L'ordine Souveniers,4468.4,719
10277,"Dragon Souveniers, Ltd.",3127.88,691
10287,"Vida Sport, Ltd",2675.13,666
10300,"Blauer See Auto, Co.",2807.61,997
10310,"Toms Spezialitten, Ltd",2504.75,621
10321,FunGiftIdeas.com,2984.88,603
10329,Land of Toys Inc.,2524.86,593
10341,Salzburg Collectables,4136.0,585
10363,Suominen Souveniers,4068.7,543
10377,"Toys of Finland, Co.",5182.0,510
10389,Scandinavian Gift Ideas,5243.79,488
10405,Mini Caravy,9048.16,447
10419,Salzburg Collectables,3832.64,415
10103,Baane Mini Imports,3920.0,1255
10113,Mini Gifts Distributors Ltd.,4916.66,1200
10126,"Corrida Auto Replicas, Ltd",3857.0,1138
10140,Technics Stores Inc.,4181.44,1082
10150,"Dragon Souveniers, Ltd.",4641.0,1026
10164,Mini Auto Werke,3570.12,995
10174,"Australian Gift Network, Co",4480.32,980
10183,"Classic Gift Ideas, Inc",2033.64,974
10194,"Saveley & Henriot, Co.",1960.14,963
10206,Canadian Gift Exchange Network,3966.78,954
10215,West Coast Collectables Co.,5152.0,900
10228,Cambridge Collectables Co.,3360.0,861
10245,Super Scale Inc.,3451.0,807
10258,"Tokyo Collectables, Ltd",5453.0,766
10270,Souveniers And Things Co.,4164.12,733
10280,Amica Models & Co.,2800.08,705
10291,Scandinavian Gift Ideas,4687.94,684
10304,Auto Assoc. & Cie.,4508.0,652
10312,Mini Gifts Distributors Ltd.,4181.44,643
10322,Online Diecast Creations Co.,2251.04,630
10347,"Australian Collectors, Co.",2083.2,606
10357,Mini Gifts Distributors Ltd.,3822.0,596
10370,"Anna's Decorations, Ltd",3911.49,556
10391,"Anna's Decorations, Ltd",2467.9,508
10411,Quebec Home Shopping Network,3213.0,456
10424,Euro Shopping Channel,7182.0,427
10109,Motor Mint Distributors Inc.,4379.18,1241
10122,Marseille Mini Autos,5004.8,1183
10136,Alpha Cognac,3644.75,1127
10148,"Anna's Decorations, Ltd",2702.04,1059
10161,Heintze Collectables,3764.88,1024
10171,Quebec Home Shopping Network,4508.0,1006
10181,Herkku Gifts,5418.16,1000
10192,Online Diecast Creations Co.,3300.66,993
10204,Muscle Machine Inc,6182.4,982
10212,Euro Shopping Channel,4186.73,938
10225,"Vida Sport, Ltd",4529.28,902
10240,Osaka Souveniers Co.,5628.89,853
10253,"UK Collectables, Ltd.",3054.48,805
10266,L'ordine Souveniers,2526.51,771
10278,Signal Gift Stores,4667.86,741
10287,"Vida Sport, Ltd",6499.32,718
10301,"Norway Gifts By Mail, Co.",5917.78,1048
10310,"Toms Spezialitten, Ltd",6231.91,673
10321,FunGiftIdeas.com,5803.14,655
10331,Motor Mint Distributors Inc.,6434.02,643
10342,"Australian Collectors, Co.",6454.4,637
10356,Lyon Souveniers,4196.8,623
10365,Mini Creations Ltd.,2611.8,595
10377,"Toys of Finland, Co.",5895.05,563
10390,Mini Gifts Distributors Ltd.,3375.72,540
10406,Danish Wholesale Imports,8374.69,499
10419,Salzburg Collectables,4464.24,468
10102,Vitachrome Inc.,4808.31,1327
10125,"Australian Collectors, Co.",3254.72,1197
10139,Souveniers And Things Co.,3184.94,1142
10149,Signal Collectibles Ltd.,5907.5,1085
10173,Rovelli Gifts,5036.16,1032
10182,Mini Gifts Distributors Ltd.,2183.25,1026
10193,"Australian Collectables, Ltd",3106.88,1018
10205,Euro Shopping Channel,3735.72,1007
10215,West Coast Collectables Co.,2413.26,951
10227,"Saveley & Henriot, Co.",2953.75,920
10244,Euro Shopping Channel,4684.8,863
10256,Danish Wholesale Imports,3248.7,824
10280,Amica Models & Co.,5239.5,755
10289,Herkku Gifts,4567.98,739
10304,Auto Assoc. & Cie.,3535.35,702
10312,Mini Gifts Distributors Ltd.,3843.34,693
10322,Online Diecast Creations Co.,3710.9,680
10332,"AV Stores, Co.",4375.98,668
10346,Signal Gift Stores,1516.62,657
10356,Lyon Souveniers,2509.0,648
10369,Collectables For Less Inc.,9240.44,607
10380,Euro Shopping Channel,2515.32,581
10391,"Anna's Decorations, Ltd",5548.9,560
10422,Diecast Classics Inc.,4873.05,479
10102,Vitachrome Inc.,2055.74,1351
10126,"Corrida Auto Replicas, Ltd",2309.58,1214
10139,Souveniers And Things Co.,2113.37,1166
10149,Signal Collectibles Ltd.,1746.6,1109
10173,Rovelli Gifts,2122.08,1056
10182,Mini Gifts Distributors Ltd.,1742.4,1050
10193,"Australian Collectables, Ltd",2455.02,1042
10205,Euro Shopping Channel,3053.28,1031
10215,West Coast Collectables Co.,1423.29,975
10227,"Saveley & Henriot, Co.",1504.12,944
10244,Euro Shopping Channel,1164.4,887
10256,Danish Wholesale Imports,1500.75,848
10280,Amica Models & Co.,1557.36,779
10289,Herkku Gifts,1345.68,763
10304,Auto Assoc. & Cie.,1795.24,726
10312,Mini Gifts Distributors Ltd.,1105.25,717
10322,Online Diecast Creations Co.,2364.88,704
10332,"AV Stores, Co.",2427.03,692
10347,"Australian Collectors, Co.",1237.95,681
10356,Lyon Souveniers,1593.02,672
10369,Collectables For Less Inc.,3156.16,631
10391,"Anna's Decorations, Ltd",4998.0,583
10422,Diecast Classics Inc.,1293.75,502
10110,"AV Stores, Co.",5433.08,1307
10123,Atelier graphique,3073.72,1245
10137,Reims Collectables,4380.2,1195
10148,"Anna's Decorations, Ltd",5848.68,1133
10161,Heintze Collectables,6153.73,1098
10172,Gift Depot Inc.,4965.24,1080
10181,Herkku Gifts,5435.64,1074
10192,Online Diecast Creations Co.,4258.36,1067
10204,Muscle Machine Inc,4032.0,1056
10212,Euro Shopping Channel,4492.36,1012
10226,Collectable Mini Designs Co.,4161.38,972
10241,Mini Caravy,2508.66,927
10253,"UK Collectables, Ltd.",3374.88,879
10266,L'ordine Souveniers,5196.6,845
10278,Signal Gift Stores,2604.52,815
10288,Handji Gifts& Co,2936.8,790
10301,"Norway Gifts By Mail, Co.",3424.64,1122
10311,Euro Shopping Channel,2923.2,747
10321,FunGiftIdeas.com,4489.76,729
10331,Motor Mint Distributors Inc.,4849.24,717
10343,Reims Collectables,5848.92,711
10367,Toys4GrownUps.com,2758.7,663
10378,Euro Shopping Channel,1449.76,635
10407,The Sharp Gifts Warehouse,7048.14,564
10419,Salzburg Collectables,5202.94,540
10106,Rovelli Gifts,5279.4,1361
10119,Salzburg Collectables,6916.12,1292
10131,Gift Ideas Corp.,2781.66,1244
10143,Mini Creations Ltd.,5248.0,1190
10155,"Toys of Finland, Co.",6531.44,1134
10167,Scandinavian Gift Ideas,5763.72,1118
10178,Alpha Cognac,6490.68,1103
10186,"Double Decker Gift Stores, Ltd",6004.8,1098
10198,Cruz & Sons Co.,7483.98,1086
10210,Osaka Souveniers Co.,5719.5,1041
10222,Collectable Mini Designs Co.,6954.08,1004
10250,The Sharp Gifts Warehouse,8160.3,924
10262,Euro Shopping Channel,6567.96,881
10274,Collectables For Less Inc.,6724.0,855
10284,"Norway Gifts By Mail, Co.",5747.85,825
10296,"Bavarian Collectables Imports, Co.",5676.84,801
10307,"Classic Gift Ideas, Inc",7379.97,773
10316,giftsbymail.co.uk,3704.13,756
10327,Danish Wholesale Imports,2804.75,748
10338,Royale Belge,5624.79,737
10351,"Stylish Desk Decors, Co.",3881.28,727
10373,"Oulu Toy Supplies, Inc.",1611.4,669
10386,Euro Shopping Channel,1364.25,640
10398,Reims Collectables,4215.09,612
10400,The Sharp Gifts Warehouse,6433.82,611
10416,L'ordine Souveniers,4352.16,573
10100,Online Diecast Creations Co.,5151.0,1429
10110,"AV Stores, Co.",6069.0,1359
10124,Signal Gift Stores,2856.0,1296
10149,Signal Collectibles Ltd.,5375.4,1183
10173,Rovelli Gifts,3508.8,1130
10182,Mini Gifts Distributors Ltd.,7554.8,1124
10193,"Australian Collectables, Ltd",3141.6,1116
10204,Muscle Machine Inc,5890.5,1106
10214,"Corrida Auto Replicas, Ltd",5967.0,1052
10227,"Saveley & Henriot, Co.",3712.8,1018
10241,Mini Caravy,7597.3,977
10280,Amica Models & Co.,3668.6,852
10288,Handji Gifts& Co,5875.2,838
10302,"UK Collectables, Ltd.",7310.0,1169
10312,Mini Gifts Distributors Ltd.,8078.4,790
10331,Motor Mint Distributors Inc.,3257.76,764
10344,Marseille Mini Autos,7650.0,757
10367,Toys4GrownUps.com,4703.81,710
10379,Euro Shopping Channel,5399.55,682
10407,The Sharp Gifts Warehouse,14082.8,611
10420,Souveniers And Things Co.,5283.6,575
10108,Cruz & Sons Co.,3130.82,1394
10122,Marseille Mini Autos,3112.34,1329
10135,Mini Gifts Distributors Ltd.,3806.88,1275
10147,Collectables For Less Inc.,2142.14,1211
10170,Mini Auto Werke,1262.8,1152
10181,Herkku Gifts,1626.24,1145
10192,Online Diecast Creations Co.,4088.7,1138
10203,Euro Shopping Channel,3846.15,1127
10212,Euro Shopping Channel,1339.8,1083
10225,"Vida Sport, Ltd",3039.96,1047
10239,"Oulu Toy Supplies, Inc.",3400.32,999
10253,"UK Collectables, Ltd.",1930.39,950
10266,L'ordine Souveniers,2464.77,916
10278,Signal Gift Stores,2634.94,886
10287,"Vida Sport, Ltd",3625.16,863
10300,"Blauer See Auto, Co.",3788.4,1194
10310,"Toms Spezialitten, Ltd",1832.6,818
10321,FunGiftIdeas.com,2905.98,800
10329,Land of Toys Inc.,2954.81,790
10342,"Australian Collectors, Co.",3599.75,782
10363,Suominen Souveniers,3686.54,740
10377,"Toys of Finland, Co.",2100.56,707
10389,Scandinavian Gift Ideas,3881.78,685
10405,Mini Caravy,4509.12,644
10419,Salzburg Collectables,3273.27,612
10109,Motor Mint Distributors Inc.,4432.7,1412
10122,Marseille Mini Autos,4100.99,1354
10136,Alpha Cognac,5274.72,1298
10148,"Anna's Decorations, Ltd",4232.0,1230
10161,Heintze Collectables,6145.44,1195
10171,Quebec Home Shopping Network,4680.2,1177
10181,Herkku Gifts,3286.08,1171
10192,Online Diecast Creations Co.,7421.3,1164
10204,Muscle Machine Inc,6432.64,1153
10212,Euro Shopping Channel,4840.87,1109
10226,Collectable Mini Designs Co.,3892.08,1069
10240,Osaka Souveniers Co.,5526.32,1024
10253,"UK Collectables, Ltd.",4459.62,976
10266,L'ordine Souveniers,6203.4,942
10278,Signal Gift Stores,3754.05,912
